event_id,label,scenario,time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
SIM-0075,0,pothole,290,-0.007616,0.048241,1.007502,2.975039,3.211281,4.151770
SIM-0075,0,pothole,300,0.031191,0.058798,1.044548,4.149091,0.323070,1.663351
SIM-0075,0,pothole,310,0.009332,0.013112,1.005081,4.174347,1.320877,6.597117
SIM-0075,0,pothole,320,0.025004,0.030714,0.993569,2.053357,1.158792,3.251715
SIM-0075,0,pothole,330,-0.006171,0.028114,0.971422,1.492426,1.227387,4.964343
SIM-0075,0,pothole,340,-0.046707,0.072762,1.012083,1.905774,5.192543,4.663139
SIM-0075,0,pothole,350,-0.022877,0.020036,0.955021,1.553522,3.057022,6.579716
SIM-0075,0,pothole,360,0.000611,0.049089,0.977211,3.605533,0.176890,7.146613
SIM-0075,0,pothole,370,-0.042788,0.051342,0.968847,2.627591,4.036614,5.325204
SIM-0075,0,pothole,380,-0.010311,0.032814,0.993232,1.995794,1.007560,3.065655
SIM-0075,0,pothole,390,-0.013894,0.049186,1.025507,2.410195,1.109338,6.755393
SIM-0075,0,pothole,400,-0.049272,0.075109,1.007563,0.100271,4.382356,3.685672
SIM-0075,0,pothole,410,-0.003696,0.056270,1.017822,0.019315,0.697884,6.102504
SIM-0075,0,pothole,420,-0.058872,0.048918,1.035421,0.019243,0.097613,4.667024
SIM-0075,0,pothole,430,-0.028201,0.052497,0.975320,4.145229,-2.319862,3.857266
SIM-0075,0,pothole,440,-0.044834,0.069457,1.001231,3.567553,-0.353785,3.059725
SIM-0075,0,pothole,450,-0.010989,0.079060,0.952891,4.209204,3.536786,1.900616
SIM-0075,0,pothole,460,-0.038610,0.060136,0.974246,3.488776,2.454328,4.150516
SIM-0075,0,pothole,470,-0.011639,0.005975,0.954575,2.192120,-1.762870,3.969325
SIM-0075,0,pothole,480,-0.016642,0.052139,0.966973,0.807161,0.861067,8.456007
SIM-0075,0,pothole,490,-0.028434,0.062839,1.000481,1.745493,-1.237628,2.909716
SIM-0075,0,pothole,500,-0.032910,0.031804,0.983687,1.770590,1.186729,4.848351
SIM-0075,0,pothole,510,-0.034630,0.041049,1.041132,1.898341,2.962382,6.980013
SIM-0075,0,pothole,520,-0.028722,0.073129,1.018183,2.421789,1.356566,1.827968
SIM-0075,0,pothole,530,-0.040804,0.056589,1.023669,1.452925,0.419702,4.513217
SIM-0075,0,pothole,540,-0.046499,0.020599,1.023864,1.749896,2.933214,3.141258
SIM-0075,0,pothole,550,-0.091152,0.065601,1.029345,-0.114219,1.341671,5.466516
SIM-0075,0,pothole,560,-0.072278,0.049388,1.011544,0.932628,1.376851,3.074059
SIM-0075,0,pothole,570,-0.072499,0.069110,0.967198,3.427520,1.264895,4.994629
SIM-0075,0,pothole,580,-0.048873,0.016605,0.994657,-0.880162,0.668743,2.905253
SIM-0075,0,pothole,590,-0.086815,0.077232,0.963918,-3.618587,2.226475,3.998794
SIM-0075,0,pothole,600,-0.083084,0.113045,0.966790,-0.797469,-2.771753,6.756119
SIM-0075,0,pothole,610,-0.074234,0.022483,0.969093,-1.959104,0.968409,4.218838
SIM-0075,0,pothole,620,-0.049471,0.095795,0.998298,-0.166079,-1.179185,5.527951
SIM-0075,0,pothole,630,-0.074313,0.033815,1.006410,1.314171,-1.853739,3.646836
SIM-0075,0,pothole,640,-0.047215,0.041658,1.025494,-1.278547,0.107530,4.141895
SIM-0075,0,pothole,650,-0.054243,0.067835,1.046096,-1.592397,3.015107,4.437196
SIM-0075,0,pothole,660,-0.038195,0.031110,1.005680,-1.964879,1.175300,2.412288
SIM-0075,0,pothole,670,-0.041031,0.048815,1.013228,-1.156065,0.877308,5.274030
SIM-0075,0,pothole,680,-0.058504,0.087631,1.015663,-3.141932,1.975398,5.711793
SIM-0075,0,pothole,690,-0.028161,0.093290,0.983552,-1.420514,-0.235693,1.673059
SIM-0075,0,pothole,700,-0.074816,0.037478,0.980555,-3.070245,0.041319,2.524366
SIM-0075,0,pothole,710,-0.053120,0.073313,0.969438,-1.484930,1.841504,3.096293
SIM-0075,0,pothole,720,-0.042279,0.043703,0.973797,-0.261271,1.041560,2.586521
SIM-0075,0,pothole,730,-0.041395,0.070082,0.960355,-1.757890,2.856278,4.193491
SIM-0075,0,pothole,740,-0.040525,0.088506,1.018248,-1.832788,0.930329,6.923355
SIM-0075,0,pothole,750,-0.029229,0.053928,1.032063,-2.940510,-2.382417,6.854878
SIM-0075,0,pothole,760,-0.047246,0.063353,1.023122,-1.280252,0.137208,2.523168
SIM-0075,0,pothole,770,-0.016787,0.062951,1.023780,0.214279,-0.910944,3.400164
SIM-0075,0,pothole,780,-0.014448,0.073987,1.014443,-2.231826,0.464179,6.000832
SIM-0075,0,pothole,790,-0.030559,0.078748,1.033813,-3.653538,-0.075406,2.460838
SIM-0075,0,pothole,800,-0.016638,0.096050,1.030677,-3.047981,-1.053041,5.101721
SIM-0075,0,pothole,810,-0.011315,0.028868,1.021159,-2.880950,0.777891,4.352626
SIM-0075,0,pothole,820,-0.056810,0.086901,0.981057,-2.750764,2.150281,1.556929
SIM-0075,0,pothole,830,-0.033336,0.043435,0.991329,-3.609448,-1.141670,4.430407
SIM-0075,0,pothole,840,-0.004026,0.036423,0.970877,-3.137463,3.183756,4.744460
SIM-0075,0,pothole,850,-0.024248,0.069346,0.956114,-1.229650,0.081074,2.304129
SIM-0075,0,pothole,860,0.017212,0.043920,0.979996,-4.563514,0.395030,1.966000
SIM-0075,0,pothole,870,-0.045903,0.071275,1.017883,-3.247246,-0.375476,3.280277
SIM-0075,0,pothole,880,-0.026252,0.078858,0.950782,-2.417116,0.074191,4.992515
SIM-0075,0,pothole,890,-0.002112,0.052398,1.051724,-6.065216,-0.663618,3.398391
SIM-0075,0,pothole,900,-0.010215,0.060989,1.032978,-4.051976,3.200479,4.060184
SIM-0075,0,pothole,910,0.017359,0.054854,1.017810,-4.692508,-0.144208,3.211271
SIM-0075,0,pothole,920,-0.041617,0.055242,1.008894,-4.896437,0.205432,1.270885
SIM-0075,0,pothole,930,-0.034206,0.051419,1.008633,-7.126063,-1.011428,4.320723
SIM-0075,0,pothole,940,0.010909,0.025140,0.978967,-6.264263,0.266352,1.370035
SIM-0075,0,pothole,950,-0.041086,0.035161,0.999764,-4.434454,0.964753,2.784667
SIM-0075,0,pothole,960,-0.013106,0.074865,1.017349,-2.185596,-1.330377,3.684825
SIM-0075,0,pothole,970,0.000883,0.082755,0.946027,-5.713872,2.847311,5.900264
SIM-0075,0,pothole,980,0.030759,0.066286,0.932265,-5.226848,-2.007871,2.407118
SIM-0075,0,pothole,990,0.008009,0.075515,1.006531,-4.334994,0.203900,0.759563
SIM-0075,0,pothole,1000,0.016556,0.007033,0.978296,-5.057264,-2.027393,2.353946
SIM-0075,0,pothole,1010,-0.005939,0.059979,1.014325,-4.276098,-1.827812,1.098310
SIM-0075,0,pothole,1020,-0.018694,-0.008083,1.040490,-5.704798,-0.536630,1.348258
SIM-0075,0,pothole,1030,0.003596,0.023083,1.026473,-6.472300,0.956726,3.832891
SIM-0075,0,pothole,1040,0.021604,0.040736,1.016337,-5.312032,-2.250619,2.579777
SIM-0075,0,pothole,1050,0.003629,0.034308,1.068100,-4.474757,2.714095,1.254456
SIM-0075,0,pothole,1060,0.001988,0.048075,1.009030,-6.818336,1.360405,2.924898
SIM-0075,0,pothole,1070,-0.014301,0.049456,0.988002,-7.379710,2.632867,2.196913
SIM-0075,0,pothole,1080,0.013830,0.023701,0.968405,-5.188465,2.265413,3.218088
SIM-0075,0,pothole,1090,-0.011924,0.040886,0.980657,-9.999815,-0.358008,2.565156
SIM-0075,0,pothole,1100,0.000797,0.027185,0.949358,-7.853193,0.230802,4.788671
SIM-0075,0,pothole,1110,0.001627,0.010504,0.935726,-5.470052,0.543757,2.320448
SIM-0075,0,pothole,1120,0.012687,0.037033,1.047346,-6.467421,0.986458,1.623245
SIM-0075,0,pothole,1130,-0.000811,0.043974,0.996864,-6.553065,-0.497838,4.407034
SIM-0075,0,pothole,1140,0.008964,0.021378,0.997090,-5.736720,-1.751258,3.499214
SIM-0075,0,pothole,1150,-0.031739,0.036841,1.053449,-5.236526,0.246317,3.227942
SIM-0075,0,pothole,1160,0.009329,0.036506,0.997145,-6.350357,-0.320598,2.932354
SIM-0075,0,pothole,1170,0.001711,0.029797,1.026442,-7.637400,0.252486,2.146786
SIM-0075,0,pothole,1180,0.016179,0.027483,1.017417,-9.954399,-1.008481,1.812588
SIM-0075,0,pothole,1190,-0.055157,0.015147,1.000412,-6.953763,-0.399606,2.893859
SIM-0075,0,pothole,1200,-0.040144,0.033463,0.964060,-7.580823,-1.424132,3.674977
SIM-0075,0,pothole,1210,-0.015323,0.034050,0.991035,-4.177835,0.005755,1.305952
SIM-0075,0,pothole,1220,-0.037326,0.030607,0.955189,-4.940561,-2.338076,6.276500
SIM-0075,0,pothole,1230,0.003223,0.005247,0.912639,-4.788683,1.720241,5.435250
SIM-0075,0,pothole,1240,-0.033342,0.017611,0.960881,-8.029804,-2.633330,-0.789946
SIM-0075,0,pothole,1250,-0.011559,0.024481,0.963241,-6.744047,1.528923,1.621534
SIM-0075,0,pothole,1260,-0.033523,0.035316,1.003407,-6.766786,-1.773567,1.500095
SIM-0075,0,pothole,1270,-0.017922,0.024356,1.008748,-8.321825,0.601270,0.869871
SIM-0075,0,pothole,1280,-0.000582,0.008226,1.047542,-6.245708,-1.443694,0.629493
SIM-0075,0,pothole,1290,-0.004250,0.019464,1.030166,-5.898890,-1.305118,0.931057
SIM-0075,0,pothole,1300,-0.023617,0.013849,1.062885,-6.119211,0.236501,0.954182
SIM-0075,0,pothole,1310,-0.027405,0.006979,1.012908,-6.220256,-0.084477,2.365623
SIM-0075,0,pothole,1320,-0.062154,-0.012002,0.988093,-6.376370,-1.713014,3.026806
SIM-0075,0,pothole,1330,-0.025115,0.029238,0.957025,-7.556828,-0.859593,5.121282
SIM-0075,0,pothole,1340,0.024035,0.027548,0.986745,-7.370383,-3.432371,1.096884
SIM-0075,0,pothole,1350,-0.074378,0.033172,0.983543,-6.094927,-1.513213,-0.707263
SIM-0075,0,pothole,1360,-0.032483,-0.036570,0.964867,-7.429864,-0.119714,3.981805
SIM-0075,0,pothole,1370,-0.014707,0.010754,1.006705,-6.980966,0.700606,4.259036
SIM-0075,0,pothole,1380,-0.054255,0.021247,1.035541,-7.347630,-0.223831,3.709086
SIM-0075,0,pothole,1390,-0.029264,0.020367,1.029427,-4.208475,1.477486,1.403455
SIM-0075,0,pothole,1400,0.023003,-0.028983,1.055396,-9.024905,-2.345799,2.512384
SIM-0075,0,pothole,1410,-0.081237,-0.022457,0.997522,-7.718083,-1.235152,1.886425
SIM-0075,0,pothole,1420,0.013417,-0.012980,0.996508,-5.286112,-2.072392,2.494045
SIM-0075,0,pothole,1430,-0.046282,0.048377,0.989779,-6.049422,0.760215,3.142447
SIM-0075,0,pothole,1440,-0.048853,0.009359,1.015139,-8.139244,-0.644533,1.312895
SIM-0075,0,pothole,1450,-0.042883,-0.013890,0.993465,-5.189583,-1.267632,2.474438
SIM-0075,0,pothole,1460,-0.005894,-0.004968,0.930612,-5.889924,0.191585,1.241533
SIM-0075,0,pothole,1470,-0.018646,-0.010925,0.972296,-4.629052,1.922676,1.458809
SIM-0075,0,pothole,1480,-0.010900,-0.000338,0.980577,-5.497242,-4.048895,0.270329
SIM-0075,0,pothole,1490,-0.021371,0.001054,0.986715,-8.376772,-2.648054,3.037010
SIM-0075,0,pothole,1500,-0.019601,-0.000518,0.941572,-6.793389,-4.371666,3.521802
SIM-0075,0,pothole,1510,-0.031020,-0.050979,1.013361,-8.072997,0.352537,1.675667
SIM-0075,0,pothole,1520,-0.020480,0.011738,1.026594,-7.343233,-1.362865,-1.189986
SIM-0075,0,pothole,1530,-0.024833,-0.002406,1.025676,-5.338621,-2.345732,5.713239
SIM-0075,0,pothole,1540,-0.020876,-0.016277,1.030045,-5.837604,-1.234682,0.120618
SIM-0075,0,pothole,1550,-0.002441,0.023114,1.039465,-5.474267,-3.439165,1.104498
SIM-0075,0,pothole,1560,-0.038396,-0.011602,0.989320,-3.880147,-0.577370,1.063570
SIM-0075,0,pothole,1570,-0.051475,-0.013919,0.989436,-4.523922,-1.032122,-0.273524
SIM-0075,0,pothole,1580,-0.019529,-0.003928,0.970738,-7.633958,-1.065672,-0.007247
SIM-0075,0,pothole,1590,-0.015630,-0.023298,0.975856,-4.380654,-1.036132,3.323723
SIM-0075,0,pothole,1600,0.000366,-0.010543,0.966530,-3.490829,0.135642,2.446372
SIM-0075,0,pothole,1610,-0.036425,-0.013618,0.960690,-6.266279,-3.408160,1.914318
SIM-0075,0,pothole,1620,-0.045485,0.003482,0.985331,-4.852099,-0.669105,2.099444
SIM-0075,0,pothole,1630,-0.013417,-0.018003,1.023841,-5.080495,-0.497670,3.260195
SIM-0075,0,pothole,1640,-0.025706,0.010495,1.031113,-6.192192,-1.584642,-0.477068
SIM-0075,0,pothole,1650,-0.059625,0.006955,1.046581,-5.019819,-0.278812,-0.631629
SIM-0075,0,pothole,1660,0.007977,-0.058722,1.029143,-4.056580,0.409807,1.214020
SIM-0075,0,pothole,1670,0.001687,0.000380,1.024447,-4.796079,-3.861741,1.825367
SIM-0075,0,pothole,1680,-0.021650,0.007147,0.994040,-5.426584,0.470195,1.586958
SIM-0075,0,pothole,1690,-0.026886,0.013340,1.010951,-3.631703,0.457111,1.804027
SIM-0075,0,pothole,1700,0.001037,-0.071539,0.955494,-4.444001,-2.015906,-0.173038
SIM-0075,0,pothole,1710,-0.019424,0.005065,0.962241,-5.367288,-3.400266,-0.354143
SIM-0075,0,pothole,1720,0.029402,0.005687,0.959301,-5.113664,-1.883278,-1.773873
SIM-0075,0,pothole,1730,0.011414,-0.023835,0.940963,-3.681600,-0.343723,-0.970501
SIM-0075,0,pothole,1740,0.044821,-0.023273,0.991654,-5.299976,-1.079621,2.053868
SIM-0075,0,pothole,1750,0.018895,-0.015439,0.999300,-5.378036,-0.892992,0.909898
SIM-0075,0,pothole,1760,0.027329,-0.020086,0.977898,-4.515483,-0.792365,0.248440
SIM-0075,0,pothole,1770,-0.040206,-0.048233,1.029859,-1.842142,-2.370353,-0.827959
SIM-0075,0,pothole,1780,0.013328,-0.036464,1.039851,-3.789646,-1.520282,0.109528
SIM-0075,0,pothole,1790,-0.016861,-0.043892,1.030660,-2.025363,-2.574629,-0.217705
SIM-0075,0,pothole,1800,0.000021,-0.045875,1.035457,-2.218198,-0.215177,-0.932796
SIM-0075,0,pothole,1810,0.021653,-0.021620,1.001848,-1.908354,-2.359565,1.595862
SIM-0075,0,pothole,1820,0.043270,-0.047581,0.996161,-1.818031,-1.003996,0.152256
SIM-0075,0,pothole,1830,0.055719,-0.044719,0.971050,-3.401965,-1.066526,1.917480
SIM-0075,0,pothole,1840,0.048914,-0.014032,0.940360,-0.370629,0.293920,-1.026363
SIM-0075,0,pothole,1850,-0.001524,-0.045254,0.953302,-2.321609,0.604263,-0.110148
SIM-0075,0,pothole,1860,0.013244,-0.008128,0.972275,-3.395951,-1.388451,-0.219339
SIM-0075,0,pothole,1870,0.062307,-0.013504,1.010975,-2.283875,-1.880413,0.603280
SIM-0075,0,pothole,1880,0.053375,-0.027772,1.019357,-1.557100,-2.581718,-0.258716
SIM-0075,0,pothole,1890,0.005473,-0.078881,0.986015,-1.614101,-2.055003,-0.247894
SIM-0075,0,pothole,1900,0.029107,0.028700,1.036288,-2.000475,-1.163228,0.781276
SIM-0075,0,pothole,1910,-0.004954,-0.046317,1.030131,-3.403942,1.380916,1.500444
SIM-0075,0,pothole,1920,0.011452,-0.009693,1.032725,-2.487652,-0.444631,0.284624
SIM-0075,0,pothole,1930,0.072240,-0.038636,1.032745,-4.188429,-2.103466,-2.211185
SIM-0075,0,pothole,1940,0.041640,-0.023178,0.999710,-0.481625,-1.515876,-0.421542
SIM-0075,0,pothole,1950,0.002892,-0.072769,1.036103,-0.354494,-1.558882,-0.815321
SIM-0075,0,pothole,1960,0.048591,-0.023436,0.973795,0.026259,-3.061978,2.197861
SIM-0075,0,pothole,1970,0.049706,-0.062847,0.959789,-0.953933,-3.274125,-0.304492
SIM-0075,0,pothole,1980,0.044960,-0.015423,0.989361,0.441430,-3.975066,1.087164
SIM-0075,0,pothole,1990,0.047091,-0.049636,0.980026,-2.772185,-1.615231,0.838681
SIM-0075,0,pothole,2000,0.030502,-0.050469,1.008022,-2.814545,-1.224239,1.547562
SIM-0075,0,pothole,2010,-0.000185,-0.025222,1.038140,-1.609003,-2.957504,1.990849
SIM-0075,0,pothole,2020,0.060567,-0.083427,1.078545,-0.480942,-0.888893,0.342861
SIM-0075,0,pothole,2030,0.023083,0.011541,1.028104,0.063973,-0.542431,-0.454049
SIM-0075,0,pothole,2040,0.032512,-0.026389,1.069895,-2.180595,0.100529,-3.713789
SIM-0075,0,pothole,2050,0.056051,-0.029937,1.028874,3.005127,-1.595618,-0.416882
SIM-0075,0,pothole,2060,0.008860,-0.006216,0.984361,-0.510519,-1.059100,-0.320871
SIM-0075,0,pothole,2070,0.019366,-0.058053,1.001323,-0.093534,-0.927261,1.435292
SIM-0075,0,pothole,2080,0.017561,0.002470,0.917685,1.113781,0.795418,-1.518997
SIM-0075,0,pothole,2090,-0.017131,-0.006008,0.968696,-0.494032,-1.115651,0.978215
SIM-0075,0,pothole,2100,-0.001618,-0.040052,0.962249,-0.705384,-0.317202,-3.033233
SIM-0075,0,pothole,2110,0.000408,-0.029127,0.961134,1.138430,-2.453230,-1.958002
SIM-0075,0,pothole,2120,0.004469,-0.004444,1.000457,1.086921,1.788755,-2.394903
SIM-0075,0,pothole,2130,0.008208,-0.006013,1.028155,1.010801,-0.635011,-0.894309
SIM-0075,0,pothole,2140,-0.050732,-0.044235,1.082317,1.158821,0.040190,1.127271
SIM-0075,0,pothole,2150,-0.036371,-0.002646,1.069684,2.186132,-0.174669,-0.731414
SIM-0075,0,pothole,2160,0.027386,-0.002667,1.039172,1.093029,-1.886717,0.988652
SIM-0075,0,pothole,2170,0.015723,0.017377,1.022720,0.761665,-3.127560,0.595001
SIM-0075,0,pothole,2180,0.011804,-0.028343,0.954802,5.218249,0.141557,-0.691134
SIM-0075,0,pothole,2190,0.010939,-0.043954,0.994301,-0.291521,-0.064515,0.560708
SIM-0075,0,pothole,2200,-0.019309,-0.003208,0.977016,0.926751,-3.665304,-2.875872
SIM-0075,0,pothole,2210,0.022308,-0.016322,0.963929,3.857395,-1.682325,-3.031247
SIM-0075,0,pothole,2220,-0.002464,-0.034340,0.959915,2.052035,0.353249,-3.060330
SIM-0075,0,pothole,2230,-0.007936,-0.034154,0.958395,0.212596,0.130328,-1.157827
SIM-0075,0,pothole,2240,0.002744,-0.065932,0.977991,1.894697,-3.883367,-1.174002
SIM-0075,0,pothole,2250,-0.004911,-0.036772,1.024314,2.183984,-2.038770,-1.427702
SIM-0075,0,pothole,2260,-0.027453,0.019214,1.010920,-0.081502,-0.988573,-1.588531
SIM-0075,0,pothole,2270,-0.051926,-0.010001,1.020161,5.754378,-1.515149,-1.275954
SIM-0075,0,pothole,2280,-0.013024,-0.025295,1.069354,2.476400,-0.457991,-1.742388
SIM-0075,0,pothole,2290,-0.015424,0.015724,1.001173,3.136123,-1.318004,-2.607582
SIM-0075,0,pothole,2300,-0.049785,0.004883,1.044265,3.175190,-3.325969,-2.283978
SIM-0075,0,pothole,2310,-0.026395,-0.060934,0.971778,2.625385,-1.587476,0.341231
SIM-0075,0,pothole,2320,0.002282,-0.015836,0.946434,4.136777,-2.024252,2.189212
SIM-0075,0,pothole,2330,-0.001149,-0.054499,0.960787,2.793344,1.845679,0.036268
SIM-0075,0,pothole,2340,0.013909,-0.047708,0.980504,3.083331,-1.420501,-1.231323
SIM-0075,0,pothole,2350,-0.019634,-0.011326,0.988707,1.786288,-0.193963,-3.380194
SIM-0075,0,pothole,2360,-0.028117,0.017715,0.975030,5.775386,-2.119700,-5.024379
SIM-0075,0,pothole,2370,0.005427,-0.002647,0.974060,3.748564,-1.819379,-1.238195
SIM-0075,0,pothole,2380,0.006224,-0.015871,0.998928,3.580698,0.420729,-0.520106
SIM-0075,0,pothole,2390,0.022153,-0.044304,1.026166,4.617192,-0.516472,-0.930128
SIM-0075,0,pothole,2400,-0.000061,-0.042654,1.006939,4.314304,1.198019,-3.423931
SIM-0075,0,pothole,2410,0.010163,0.032002,1.036113,3.385154,-2.606320,-1.870639
SIM-0075,0,pothole,2420,0.014305,0.002468,1.036584,4.034854,-1.313055,-0.763354
SIM-0075,0,pothole,2430,-0.001493,0.010208,1.027769,1.620538,-0.271389,-4.361842
SIM-0075,0,pothole,2440,0.003799,0.011673,1.013377,5.874374,-1.038344,0.372754
SIM-0075,0,pothole,2450,0.014767,-0.024278,0.963041,2.343911,0.757099,-1.366663
SIM-0075,0,pothole,2460,0.003031,-0.010819,0.977746,2.139336,-0.358384,-1.080114
SIM-0075,0,pothole,2470,0.049936,-0.013256,0.957366,3.950379,-1.495884,-1.643826
SIM-0075,0,pothole,2480,0.008257,0.000541,0.962758,4.871856,0.015959,-3.702941
SIM-0075,0,pothole,2490,0.018536,0.019175,0.994230,4.359393,-2.601514,-1.212820
SIM-0075,0,pothole,2500,-0.002434,-0.005843,0.990118,4.834157,0.070292,-2.602251
SIM-0075,0,pothole,2510,0.002979,0.020078,1.026948,3.500035,1.503696,0.264695
SIM-0075,0,pothole,2520,0.030911,0.015663,1.027743,1.584627,-1.059061,-3.119536
SIM-0075,0,pothole,2530,0.010228,0.005163,1.020262,3.971434,1.526242,-2.430621
SIM-0075,0,pothole,2540,0.021321,-0.031168,1.029548,2.216145,-1.797385,-0.065448
SIM-0075,0,pothole,2550,0.021889,-0.014270,0.981426,5.830366,0.347431,-3.309504
SIM-0075,0,pothole,2560,0.063638,0.005475,1.004392,3.589052,-1.694351,-1.442736
SIM-0075,0,pothole,2570,0.056641,0.038323,0.998598,5.546853,2.148629,-2.056258
SIM-0075,0,pothole,2580,0.021927,0.024042,1.022349,3.411225,-0.510005,-2.310727
SIM-0075,0,pothole,2590,0.020990,0.008023,0.946538,4.604634,-0.252751,-2.475026
SIM-0075,0,pothole,2600,0.039332,0.013066,0.947593,4.967854,-1.634068,-1.626268
SIM-0075,0,pothole,2610,0.038203,0.039503,0.968047,3.032707,-1.710582,-2.598780
SIM-0075,0,pothole,2620,0.053982,0.013376,1.011377,5.005597,0.495622,-1.356927
SIM-0075,0,pothole,2630,0.061685,-0.005370,1.034309,5.526413,0.199816,-0.910671
SIM-0075,0,pothole,2640,0.114430,-0.017642,1.033580,6.006476,2.053923,-0.881738
SIM-0075,0,pothole,2650,0.058013,-0.030197,1.049961,4.581285,-0.943823,-1.075959
SIM-0075,0,pothole,2660,0.027959,0.051489,1.044152,3.996995,0.867866,-5.119891
SIM-0075,0,pothole,2670,0.019957,0.070236,1.031541,4.880440,-0.507735,-5.092984
SIM-0075,0,pothole,2680,0.048593,-0.022248,1.026428,4.349891,0.027526,-0.956077
SIM-0075,0,pothole,2690,0.041259,0.012323,1.013099,2.659904,0.258239,-0.247034
SIM-0075,0,pothole,2700,0.091432,-0.005255,0.982165,4.913370,-0.014382,-3.337135
SIM-0075,0,pothole,2710,0.077649,0.036762,0.949028,2.386245,1.540716,1.886039
SIM-0075,0,pothole,2720,0.058759,0.014737,0.991154,6.712859,0.292178,-3.636064
SIM-0075,0,pothole,2730,0.056270,0.024017,0.986073,4.028398,2.118096,-1.426346
SIM-0075,0,pothole,2740,0.118272,0.037024,0.967108,5.292031,0.516595,-1.689338
SIM-0075,0,pothole,2750,0.056526,0.062552,0.999798,4.631937,0.754435,-2.389447
SIM-0075,0,pothole,2760,0.088654,0.040704,0.987809,4.378836,0.322585,-2.142141
SIM-0075,0,pothole,2770,0.060026,0.039132,1.008999,4.649290,-0.851357,-0.956309
SIM-0075,0,pothole,2780,0.077535,0.037764,1.028739,3.185515,-2.233405,-0.689181
SIM-0075,0,pothole,2790,0.066869,0.023446,1.035140,2.711974,0.754324,-1.130305
SIM-0075,0,pothole,2800,0.009815,-0.020588,1.016298,3.012792,-0.594404,-2.065445
SIM-0075,0,pothole,2810,0.049950,0.003010,1.004870,5.070564,0.119594,-2.223598
SIM-0075,0,pothole,2820,0.053110,0.004618,1.022503,1.622997,0.140577,-2.550579
SIM-0075,0,pothole,2830,0.071263,0.038869,0.976029,2.667888,0.737332,0.775329
SIM-0075,0,pothole,2840,0.060300,0.004614,0.940526,4.418369,-1.276160,-0.966342
SIM-0075,0,pothole,2850,-0.005712,0.014657,0.961082,4.104738,3.353038,-0.808630
SIM-0075,0,pothole,2860,0.058948,0.012914,0.969274,3.510520,-0.102551,-3.154846
SIM-0075,0,pothole,2870,0.021023,0.075839,0.958883,3.416821,0.038430,0.834147
SIM-0075,0,pothole,2880,0.037984,0.028254,1.012396,5.581431,-0.899997,-0.870076
SIM-0075,0,pothole,2890,0.025433,0.037756,1.019570,2.896242,-0.693351,-2.547178
